State,Year,Organizations,Intake - Relinquished By Owner Total-Feline,Intake - Stray At Large Total-Feline,Intake - Transferred In Total-Feline,Intake - Owner Intended Euthanasia Total-Feline,Intakes - Other Intakes Total-Feline,Live Outcome - Adoption Total-Feline,Live Outcome - Returned To Owner Total-Feline,Live Outcome - Returned To Field Total-Feline,Live Outcome - Transferred Out Total-Feline,Live outcome - Other Live Outcome Total-Feline,Other Outcome - Died In Care Total-Feline,Other Outcome - Lost In Care Total-Feline,Other Outcome - Owner Intended Euthanasia Total-Feline,Other Outcome - Shelter Euthanasia Total-Feline,Intake - Relinquished By Owner Total-Canine,Intake - Stray At Large Total-Canine,Intake - Transferred In Total-Canine,Intake - Owner Intended Euthanasia Total-Canine,Intakes - Other Intakes Total-Canine,Live Outcome - Adoption Total-Canine,Live Outcome - Returned To Owner Total-Canine,Live Outcome - Returned To Field Total-Canine,Live Outcome - Transferred Out Total-Canine,Live outcome - Other Live Outcome Total-Canine,Other Outcome - Died In Care Total-Canine,Other Outcome - Lost In Care Total-Canine,Other Outcome - Owner Intended Euthanasia Total-Canine,Other Outcome - Shelter Euthanasia Total-Canine
AZ,2023,40,9351,17806,2330,110,1090,21179,749,1510,1443,1332,703,75,124,4786,10890,30590,4930,494,3038,34625,7290,2,4394,646,587,70,572,3742
CA,2021,127,23916,91750,15762,2199,5799,84581,4213,10056,12871,2604,3762,280,1981,18246,28735,82761,15768,6055,6745,70334,33064,115,19114,2010,995,136,5806,8652
CA,2022,127,26863,99784,18002,1717,6080,92150,4410,5246,11065,3766,4003,443,1620,22410,32591,106193,16871,5115,8129,85395,33101,196,22176,3532,1226,290,4845,15097
CA,2023,127,27540,110809,17919,1951,5464,99931,4314,6252,11970,4923,4525,718,1802,28355,32409,124055,15589,6433,7783,95161,33758,326,25141,3038,1380,330,6335,22873
CO,2021,37,13218,17025,9007,127,4188,31015,2160,3406,2474,561,636,43,130,3328,11184,16541,9099,343,2625,23314,12383,129,1558,207,127,14,347,2201
CO,2022,37,14741,18566,9234,122,3770,32370,2422,3014,2804,610,667,8,135,3552,12828,18520,7545,406,3123,23966,13253,0,1632,154,128,10,415,3075
CO,2023,37,15543,20810,8823,129,4382,34531,2738,3802,3158,809,865,23,135,3999,13551,19795,6539,451,3196,23969,13464,0,2200,197,138,22,454,3828
CT,2021,10,666,975,838,92,601,2034,292,32,162,50,221,1,91,88,291,240,414,165,361,852,185,0,180,45,18,0,169,35
CT,2022,10,695,963,509,100,674,2001,236,31,134,19,188,0,101,105,395,344,575,213,243,1080,226,0,113,41,14,0,213,28
CT,2023,10,670,774,433,117,532,1785,163,0,101,19,81,0,114,59,417,306,523,246,166,1012,213,0,115,40,21,1,250,30
DE,2021,2,589,606,7,0,56,1120,18,59,25,0,53,0,0,66,137,53,362,0,1,517,23,0,3,0,3,0,0,20
DE,2022,2,566,653,1,0,21,1134,13,18,0,2,52,1,0,41,134,44,279,0,1,393,13,0,25,0,2,0,0,7
DE,2023,2,428,678,6,0,43,996,21,49,23,0,51,1,0,48,158,49,128,0,0,307,14,0,2,0,1,0,0,16
FL,2021,63,23292,48963,10729,1986,3959,60871,1425,7409,7997,1283,2104,142,1445,7148,17235,22095,12924,3604,4477,38581,8294,2,6762,2472,331,25,3137,2837
FL,2022,63,21992,48175,11544,1353,4646,58753,1297,7333,9465,1992,1759,82,1163,6216,17232,23991,11336,3033,3718,36948,8123,7,7361,2019,320,18,2784,3474
FL,2023,63,22021,49676,14165,1340,5165,58411,1442,11410,7757,2088,1907,102,1231,6010,16565,25088,10501,2884,4245,37831,7869,0,6983,2736,331,54,2754,3980
GA,2021,52,10658,13419,6567,153,4735,20358,465,951,5752,2058,1198,46,117,3171,9473,13653,4524,173,4069,16209,4479,9,6880,956,243,35,178,2083
GA,2022,52,10188,12311,6891,105,3102,19228,402,666,5099,1511,964,49,119,2701,8029,14576,4440,287,2617,15342,4029,0,6026,307,275,49,308,2230
GA,2023,52,10493,11697,6393,160,2714,19120,422,497,6740,1245,882,53,173,1817,7610,13654,4259,412,3024,15859,3582,0,6240,375,422,68,625,2983
HI,2021,6,2821,8363,255,274,62,5589,448,779,1125,0,181,69,109,2916,2767,4519,601,620,47,4132,2185,19,623,0,26,4,248,797
HI,2022,6,2492,7817,157,256,24,5586,433,823,797,0,206,8,257,1932,3041,5655,530,686,37,4769,2296,1,700,0,59,1,606,935
HI,2023,6,2185,8997,110,314,13,5780,659,561,1127,0,209,21,309,2394,2479,6195,545,795,46,4975,2329,13,800,3,54,1,753,944
IA,2021,16,4181,6963,657,359,434,8604,560,834,855,64,409,147,357,745,3483,3517,1586,544,386,5414,2539,0,395,2,102,34,538,369
IA,2022,16,4735,6310,470,1,665,8927,612,648,375,75,440,13,0,757,3578,3849,1508,1,792,5861,2810,0,639,57,98,3,0,369
IA,2023,16,4610,6207,667,0,594,9249,488,728,420,248,345,10,0,871,3827,4008,1363,2,375,5992,2442,0,600,53,55,0,0,561
ID,2021,21,4136,9041,801,138,657,9584,459,1734,1098,392,268,36,136,1858,3625,7439,1680,362,597,7035,4969,1,507,157,54,7,340,442
ID,2022,21,3647,10455,649,96,1692,10303,559,2420,833,588,318,25,130,1115,3209,7720,1844,269,1512,7810,4894,25,666,572,48,2,378,539
ID,2023,21,3368,10236,576,88,1645,10028,446,2814,719,521,323,21,94,862,3219,6148,1652,283,1464,7658,4558,77,476,455,65,2,325,612
IL,2021,29,7275,5736,7623,120,656,16483,419,301,1866,64,677,3,119,1439,4697,3090,11879,366,604,15717,2430,37,1006,208,183,1,356,933
IL,2022,29,7219,7260,7812,128,1300,17420,460,386,1567,534,759,19,127,1745,5012,4064,11230,374,1043,15261,2831,40,865,833,177,4,369,1146
IL,2023,29,7364,7328,7201,150,964,17086,382,312,1589,132,684,59,153,1954,5363,4151,8832,425,455,13976,2278,72,844,70,153,5,455,1609
IN,2021,31,7911,16537,4656,267,1925,18515,908,1736,5006,1018,976,52,203,2695,5103,9209,3840,565,1194,10825,5623,2,1662,297,109,5,460,1189
IN,2022,31,8656,16983,3739,287,1391,18407,886,1960,4105,305,998,5,209,2892,5828,9784,3465,592,1221,11070,5202,0,1419,129,98,5,459,1912
IN,2023,31,8206,16647,3232,255,1865,18441,853,2132,3300,1239,811,15,318,3351,5901,9404,2867,504,1919,10812,4969,0,1610,1942,130,8,448,2525
KS,2021,22,5029,3762,5238,224,232,10775,222,6,2227,1,403,0,204,1090,4455,4345,4133,608,399,9306,2646,0,1259,42,82,10,596,844
KS,2022,22,5482,3899,4999,169,318,11203,208,205,1963,63,355,14,148,809,4224,5136,5110,546,401,10215,2667,22,1323,87,103,9,500,850
KS,2023,22,5033,3761,4939,137,184,10449,192,362,2327,10,352,5,99,765,4203,5617,5308,429,390,10202,2620,0,1283,37,111,3,412,1128
KY,2021,21,5888,8280,3200,67,484,9811,338,1956,2696,64,486,12,48,1843,6259,7961,2709,179,873,7542,3239,0,5001,0,154,5,145,1143
KY,2022,21,5933,7174,2716,65,482,8872,348,1597,2708,80,371,24,33,1361,6086,8471,2694,191,980,8368,3094,1,4485,11,186,5,112,1404
KY,2023,21,6230,7668,2221,139,416,10168,435,1991,2307,36,307,7,76,1275,6431,9082,1726,190,812,8451,3115,0,4242,34,155,4,118,1835
LA,2021,21,4117,15305,1637,143,820,8945,984,2385,6631,163,774,54,115,1647,4434,10264,1527,433,588,5178,2640,5,6510,39,255,15,334,1958
LA,2022,21,3285,14126,2232,110,704,9141,303,1850,5710,111,703,59,57,1460,4148,11650,1172,508,500,5655,2633,50,5913,52,179,16,396,2863
LA,2023,21,3033,11360,1742,78,919,8792,311,1856,5071,87,629,24,216,1301,3527,11090,1069,543,574,5945,2620,28,4666,39,189,22,454,3444
MA,2021,23,3406,2575,6413,392,1084,11979,325,50,322,2,57,13,347,406,1309,515,3656,485,1064,5640,264,0,257,1,12,0,461,248
MA,2022,23,3492,3160,6469,386,665,12129,321,52,128,2,108,3,364,480,1485,479,3845,577,785,5460,290,1,187,1,11,1,539,259
MA,2023,23,4253,3068,7418,342,680,13708,371,40,200,1,106,2,281,519,1760,520,3792,489,719,5505,327,3,186,2,15,1,453,287
MD,2021,17,3361,7620,1610,187,1176,8151,325,1014,2031,28,367,34,187,1753,3911,3202,482,492,1228,4792,2087,0,981,10,63,1,482,849
MD,2022,17,3449,8280,1701,175,286,8413,512,158,1929,32,347,3,165,1482,4369,4356,478,644,1355,5794,2410,0,1049,6,76,2,587,1080
MD,2023,17,3718,7911,1449,216,179,8650,424,316,2141,21,281,8,207,1407,4789,5079,437,761,1621,6444,2523,0,1305,15,50,1,721,1560
ME,2021,5,2048,1293,1884,30,247,4992,222,3,19,17,128,0,29,152,602,545,1339,51,35,2010,596,0,24,18,4,1,37,63
ME,2022,5,2390,1369,2130,34,253,5542,216,14,78,16,124,0,30,147,831,633,1684,42,101,2459,558,0,117,8,2,0,49,98
ME,2023,5,2480,1666,1349,39,310,5059,290,23,73,22,130,0,30,184,778,666,947,41,84,1791,594,0,47,7,8,0,34,87
MI,2021,29,9446,12443,2540,770,873,20534,698,453,438,52,552,7,761,1205,5056,8388,6718,1550,1058,13383,3376,0,1220,14,138,18,1547,1631
MI,2022,29,9151,13012,2033,720,1127,20225,661,459,901,19,551,16,711,1326,5124,10377,5097,1403,1118,13037,3537,13,1473,9,118,25,1406,2330
MI,2023,29,8837,13003,1626,628,664,19773,678,1345,708,51,524,37,603,1245,4901,11925,3912,1306,1149,12438,4087,0,1802,13,112,49,1293,3327
MN,2021,30,6749,5731,3319,695,835,13152,507,1358,892,1,249,2,726,548,3040,1738,7137,920,632,10514,1596,1,505,1,49,5,941,519
MN,2022,30,7119,5871,3367,691,953,13325,441,1480,953,3,258,4,619,703,3114,2238,6296,800,680,9117,1811,0,652,87,48,6,801,778
MN,2023,30,8005,6027,3028,419,805,14512,442,1392,1261,0,339,6,418,923,3227,2626,4798,811,511,8572,2046,0,707,1,37,3,801,969
MO,2021,22,7629,5564,2818,10,2905,14365,1660,883,1227,3244,733,17,32,1149,4449,4659,1303,14,1158,9435,3065,12,1109,2107,212,7,95,563
MO,2022,22,6991,5426,3331,31,2731,13559,1616,495,1189,418,709,10,22,918,4618,5448,926,13,1251,9657,3839,23,1098,32,195,4,66,970
MO,2023,22,6220,5509,2280,41,2218,13098,1418,852,862,54,599,6,4,952,3859,5511,861,201,1151,9810,3862,74,709,2,215,4,16,1388
MS,2021,9,3170,3514,1831,53,293,5401,118,269,1852,123,459,34,52,547,4330,6057,9051,117,122,5702,1324,13,11975,1,207,25,118,407
MS,2022,9,2460,3178,1150,154,453,5004,74,229,944,78,440,25,185,382,3399,5168,2555,104,1051,5525,1169,17,4732,7,187,18,107,568
MS,2023,9,2032,2973,900,52,159,4486,66,285,678,53,233,11,52,317,2437,5375,1878,153,451,4702,918,14,3542,5,204,18,209,785
MT,2021,17,3009,4138,528,28,1309,6455,619,72,460,641,204,9,34,427,2419,4033,1073,148,828,4023,3499,0,817,195,33,4,50,240
MT,2022,17,3698,4275,495,25,1489,7218,581,15,397,995,198,8,36,474,2885,4292,880,66,934,4608,3132,0,712,304,28,13,56,239
MT,2023,17,3766,4053,442,41,1869,7284,498,8,311,1548,159,4,35,355,3186,5380,933,110,1276,5423,3639,2,755,800,34,17,86,362
NC,2021,44,9680,17701,4438,250,1914,18774,738,441,4634,1127,990,63,150,6380,9059,11329,9919,469,2138,18082,5402,6,5097,22,253,26,385,3106
NC,2022,44,8641,17346,4640,234,1528,20374,642,152,3947,892,942,67,152,5201,8721,13367,8828,545,1753,19398,5285,5,4745,13,294,33,437,4030
NC,2023,44,8067,15948,5274,276,1241,20505,670,97,4097,758,867,226,167,4977,8429,13400,7963,567,1561,19478,4483,3,5167,26,274,220,457,3195
ND,2021,8,902,1299,931,1,705,2840,252,50,344,171,73,1,0,62,1408,657,569,5,498,2265,360,0,458,0,16,2,2,36
ND,2022,8,1334,1581,887,0,542,3457,189,19,266,119,64,2,0,71,1439,792,688,0,481,2427,374,0,488,13,39,4,0,45
ND,2023,8,1667,1165,617,0,604,3432,189,31,76,231,85,1,0,78,1429,737,284,2,268,2024,378,1,240,26,25,0,0,68
NE,2021,8,3999,7022,623,191,134,8053,658,129,532,0,206,6,192,2314,2969,4924,424,397,455,4418,3736,4,223,0,21,3,392,720
NE,2022,8,2938,7290,591,177,134,8014,617,118,358,2,203,9,163,1860,2893,5464,461,397,530,5020,3749,1,135,1,36,1,371,796
NE,2023,8,3002,6546,615,195,188,7586,623,297,240,1,188,1,173,1740,2855,5705,243,368,383,5075,3522,0,142,11,33,1,337,1116
NH,2021,13,1797,1047,1133,33,263,3821,212,5,68,4,64,0,31,143,535,482,1063,45,196,1582,583,0,50,7,4,0,49,107
NH,2022,13,1722,925,1387,43,227,3627,232,1,13,6,56,0,37,131,685,577,993,81,107,1646,593,1,30,15,9,1,78,111
NH,2023,13,1883,1006,1580,50,175,4305,238,2,18,7,54,2,50,131,969,610,796,65,108,1727,669,0,65,8,9,0,65,142
NJ,2021,23,4314,14314,2202,65,852,13117,560,1334,2089,278,678,83,51,1684,2547,3994,5251,92,853,7042,2211,3,2506,9,60,8,54,377
NJ,2022,23,4002,14618,2063,66,633,13044,600,1559,2265,254,730,6,42,1895,2376,4724,4409,66,692,6892,2537,5,2231,1,78,4,43,410
NJ,2023,23,3985,13716,2498,48,587,12449,584,1107,3865,228,669,96,33,1614,2383,5170,3618,59,617,7081,2292,33,1677,36,112,36,35,602
NM,2021,12,2234,8106,424,256,689,4677,397,1267,1950,392,355,25,387,1527,4281,11110,195,247,633,5687,3212,10,4656,147,168,37,263,1870
NM,2022,12,2845,8549,341,88,792,5092,238,1517,1650,643,297,15,570,1696,3944,11909,127,272,981,6257,3045,0,2935,188,112,16,307,3512
NM,2023,12,2968,8469,248,90,242,5080,268,1071,1382,14,241,10,470,2701,4883,13034,64,281,682,5988,3239,1,3537,98,82,17,263,5228
NV,2021,15,1635,9077,979,376,1288,5332,1032,980,3542,6,382,12,372,1044,2218,12493,4194,1413,1105,5566,8033,0,3092,9,98,45,1422,1297
NV,2022,15,2354,10837,1523,280,1064,8126,1031,1683,4487,13,273,39,281,1692,3186,13809,1719,981,999,8570,7599,0,4144,23,80,93,1003,2559
NV,2023,15,2464,8434,1659,47,1038,7535,645,1066,3806,49,291,20,47,1389,3248,13380,1651,262,437,8661,7078,0,3922,7,93,24,260,3082
NY,2021,53,9921,12127,5145,243,2233,23544,724,518,844,202,799,17,115,1380,4199,4299,9217,339,1161,15203,2274,1,426,34,198,7,301,883
NY,2022,53,10491,12010,4644,212,1822,23313,715,931,582,424,818,28,158,1358,4595,4709,7944,369,1336,14944,2388,0,557,67,220,5,315,926
NY,2023,53,11405,11112,5600,136,2318,24576,756,1040,1290,333,716,26,141,1220,4774,5394,7460,410,1083,14254,2188,2,743,110,184,2,325,1158
OH,2021,33,8543,12909,3538,147,2000,22654,418,573,526,363,660,6,87,1541,4399,6499,6820,189,1211,14898,2704,5,740,51,127,1,160,835
OH,2022,33,9499,13913,4001,151,1371,24823,459,486,455,14,678,4,89,1702,4957,7177,6802,287,1105,16406,2834,1,736,40,185,5,224,1002
OH,2023,33,9659,15050,3037,244,1700,25701,519,486,569,42,822,66,141,2037,5443,7079,5055,408,2363,15452,2804,4,872,47,208,11,311,1313
OK,2021,16,3472,3774,1996,106,676,6743,129,715,974,296,527,28,60,1229,4360,5173,2274,247,668,6559,2057,65,2663,24,147,15,218,1539
OK,2022,16,3123,3494,1578,123,400,6380,129,143,890,514,429,25,32,485,3118,5737,2270,355,521,6375,2085,118,2615,35,168,18,272,916
OK,2023,16,3166,3372,1337,83,295,6343,98,270,831,486,327,33,36,389,2688,5421,1548,317,191,5520,2005,38,1703,32,151,16,286,1129
OR,2021,23,4999,7544,838,88,690,12087,591,614,1789,65,269,6,67,838,2257,4615,1830,188,767,4829,3816,3,608,6,48,2,139,463
OR,2022,23,5600,7691,2935,87,788,12389,684,351,1837,81,268,7,69,759,2276,6276,1892,152,699,5267,4724,2,615,5,34,2,117,616
OR,2023,23,6250,7814,3268,68,552,13425,689,328,2042,85,392,4,62,728,2870,7061,1671,121,423,5766,4927,2,731,5,34,5,98,694
PA,2021,23,6818,16325,4144,676,801,18214,451,1534,3596,499,910,28,409,2858,4374,6794,3948,1010,458,9400,2758,26,2245,275,91,1,645,1157
PA,2022,23,6602,17484,4183,260,646,17694,558,2006,4104,34,703,28,150,2819,4579,8205,3624,468,157,9332,3039,0,2199,8,73,5,209,1763
PA,2023,23,8124,18800,3685,103,668,19365,554,3138,4166,25,658,26,77,3069,4770,9704,2950,177,169,10005,3228,0,2354,7,73,4,104,2222
PR,2021,2,87,292,27,22,0,199,1,8,73,0,28,1,17,12,316,499,202,28,0,622,11,1,213,0,25,0,28,14
PR,2022,2,13,268,1,14,0,134,0,2,159,0,16,0,6,11,60,560,63,10,10,337,4,0,307,0,10,0,7,16
PR,2023,2,34,277,1,20,9,182,6,3,100,0,9,5,10,9,149,587,19,13,0,452,7,0,211,0,8,0,9,10
RI,2021,8,1153,849,926,3,1252,2929,157,337,355,184,110,2,2,62,661,443,669,11,82,1141,434,0,171,2,11,2,13,74
RI,2022,8,1242,800,1233,1,1347,3537,141,311,425,163,95,3,2,65,739,563,685,22,86,1349,547,0,130,4,18,0,29,66
RI,2023,8,1405,874,1392,12,1539,3650,133,478,404,584,107,0,12,100,701,576,581,33,49,1185,497,0,198,0,10,0,35,104
SC,2021,20,4218,17115,1052,29,369,12398,445,1788,3389,465,941,66,27,2980,4978,12356,2771,131,875,11034,3152,3,5373,130,166,52,105,1071
SC,2022,20,4405,15970,804,43,740,12162,440,3131,2372,157,652,77,35,2086,5375,13789,2605,147,1137,11973,3306,0,4806,329,149,50,121,1838
SC,2023,20,4116,15710,527,53,972,10549,498,3637,2290,456,599,63,91,2013,5204,14714,1788,243,1030,11086,3401,5,4999,857,182,49,220,2770
SD,2021,2,367,166,0,0,16,182,15,0,319,4,3,0,0,17,312,185,2,0,15,229,7,0,251,0,0,0,0,4
SD,2022,2,500,136,0,0,46,158,1,25,449,21,16,0,0,6,327,64,6,1,25,214,4,0,208,0,1,0,0,9
SD,2023,2,481,79,0,0,24,187,1,25,385,25,2,0,0,17,334,32,1,0,15,167,7,0,205,0,1,0,0,5
TN,2021,33,6332,11619,1859,70,4774,14763,1083,1234,2360,1551,959,32,41,2344,10429,15219,1521,184,4088,12215,4853,6,10169,1092,456,27,134,2174
TN,2022,33,6572,12833,1364,38,3033,14474,926,979,2239,1212,901,15,34,2413,9026,16263,1837,113,3560,12644,4266,8,8671,853,438,15,118,3181
TN,2023,33,6018,12432,1516,63,2670,14756,1039,944,2077,1521,698,27,56,1839,8061,16519,1872,122,3429,13221,4334,6,8003,1244,389,34,217,4158
TX,2021,88,20778,42272,21304,804,8415,53032,1050,9266,17222,1087,3767,169,815,5692,29429,54318,29899,2134,8786,60242,12496,1275,37605,882,1835,182,1995,5858
TX,2022,88,21698,35938,20682,918,7034,52341,1089,6121,15522,819,3183,192,863,5146,28780,56588,26002,2719,9579,61679,11587,976,29602,759,2026,251,2345,11958
TX,2023,88,20174,34212,23671,866,6731,51224,1127,6871,14996,798,2913,322,779,5302,23150,51985,25365,2221,8722,58671,9864,910,26497,577,1553,363,1679,12084
UT,2021,28,5310,6185,6995,445,1323,12733,538,1150,3803,519,502,61,435,947,3808,4606,4943,1255,689,8285,3256,0,2065,310,111,3,1172,359
UT,2022,28,5180,7096,6643,356,1376,13273,542,1332,3518,623,704,41,335,1273,3894,4736,3645,901,948,7719,3293,0,1926,339,122,5,844,465
UT,2023,28,5370,7412,5825,300,1373,13538,581,1392,3021,641,669,10,278,1443,3807,5305,2880,643,1031,7301,3989,0,1806,509,110,3,625,562
VA,2021,36,7635,8608,9935,42,1320,20518,697,1118,2748,7,718,18,53,1442,4888,5642,7339,122,800,12297,3696,0,1721,3,137,3,80,727
VA,2022,36,8292,9050,10262,106,998,20726,536,1226,2717,6,668,17,17,1549,5682,6848,7373,88,977,13322,4043,0,1689,1,80,10,49,1255
VA,2023,36,8371,9172,10179,39,1220,20966,692,1251,2660,145,577,48,24,1975,5911,7371,6857,64,810,12582,4395,0,1726,6,129,25,51,1710
VT,2021,5,1120,517,752,0,117,2196,48,1,13,0,106,1,0,146,263,112,235,0,21,479,74,0,4,0,0,0,0,37
VT,2022,5,890,489,659,0,150,2049,30,1,16,5,32,0,0,81,280,149,229,0,14,530,75,0,24,1,5,0,0,47
VT,2023,5,1123,500,437,0,113,1907,46,4,21,1,39,0,0,159,368,178,199,0,17,525,103,0,34,0,1,0,0,97
WA,2021,40,11397,19875,12132,836,1440,34558,1774,693,4061,166,1153,44,680,2314,4462,10299,4670,1260,421,17161,6242,1,1357,40,92,8,1157,1059
WA,2022,40,12856,22446,12148,579,2590,37603,2383,983,4105,237,1330,33,456,2775,4878,11928,5346,983,253,14158,5817,0,1604,6,101,11,799,1420
WA,2023,40,13642,20095,12239,551,1873,38712,1723,441,3780,212,838,55,421,2210,5550,12709,4676,1009,430,15110,5649,4,1368,25,95,21,800,1803
WI,2021,33,10975,16599,2500,471,1324,23373,1787,1205,1206,491,635,34,445,2269,4636,7737,5182,475,881,10892,5909,2,765,304,81,3,455,1433
WI,2022,33,10601,17367,2583,314,1630,23852,1856,1279,1388,595,549,9,287,2388,5374,9365,4493,301,1109,11487,6004,2,1185,483,61,2,288,1761
WI,2023,33,11051,19482,3050,98,1218,24037,1847,1336,1784,496,637,9,113,3422,5543,10858,4391,140,816,11465,6032,7,1286,402,72,5,151,2043
WV,2021,14,1278,4409,169,1,496,2871,94,59,2749,119,193,1,0,305,1710,3117,183,2,503,1585,823,1,2863,3,30,2,0,100
WV,2022,14,1062,4318,206,0,318,2882,91,56,1976,89,223,2,1,515,1298,2987,309,0,534,1787,826,0,2312,1,67,9,0,147
WV,2023,14,1253,3823,148,0,503,2955,33,23,2136,20,217,3,0,288,1396,2665,239,7,613,2097,644,0,1946,176,56,2,1,150
WY,2021,9,975,1647,379,19,819,2456,271,15,205,645,39,4,19,311,796,1832,675,58,656,1894,1684,0,240,441,12,2,59,117
WY,2022,9,1135,1985,395,15,343,2673,269,54,167,135,77,3,19,355,1037,1737,638,18,474,2083,1645,2,291,5,11,0,32,93
WY,2023,9,1302,2581,457,31,166,3403,214,152,304,2,115,0,29,335,1141,1915,676,18,99,2114,1496,0,335,6,9,0,21,89
